date,tc=0.001_tv=0.1,tc=0.0025_tv=0.1,tc=0.005_tv=0.1,tc=0.001_tv=0.15,tc=0.0025_tv=0.15,tc=0.005_tv=0.15,tc=0.001_tv=inf,tc=0.0025_tv=inf,tc=0.005_tv=inf
2016-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-05,-0.0028555482944687682,-0.002894359240718125,-0.002959044151133572,-0.004283322441703152,-0.004341538861077132,-0.004438566226700469,-0.0060854956723285225,-0.006115958846931058,-0.006166730804601839
2016-01-06,-0.0075459536746118605,-0.007620869789344842,-0.007745723703014296,-0.011308856485736762,-0.011421014736600732,-0.01160793103021529,-0.015578793747516695,-0.015630068099908523,-0.01571552247925445
2016-01-07,-0.022993443116767542,-0.023223032272108757,-0.02360562240039188,-0.03439223660424873,-0.03473463976998592,-0.03530518050791931,-0.0550217203976997,-0.05508821056365265,-0.05519902074944527
2016-01-08,-0.025719888319850837,-0.02598032339352596,-0.026414290661185502,-0.03843419001186288,-0.038821833206423184,-0.03946770097560237,-0.061452390924122136,-0.06153125183088204,-0.061662675953915946
2016-01-11,-0.022454507872086804,-0.022723193572742995,-0.02317090281413181,-0.03360003889218299,-0.03400055164711813,-0.03466784808826806,-0.05366542789219564,-0.0537631195937629,-0.05392592149797226
2016-01-12,-0.017588706266416843,-0.017874112677087828,-0.018349670476416446,-0.02638455298332465,-0.02681086479573469,-0.02752111597180895,-0.041679098113824975,-0.04179272724499328,-0.04198208456450414
2016-01-13,-0.029941626900466756,-0.030284227788396456,-0.030855032734420806,-0.04474803438128505,-0.04525665063976814,-0.04610390512892326,-0.07578530804987194,-0.07590732221748253,-0.07611064892219843
2016-01-14,-0.02352235849494655,-0.023899527482987182,-0.024527893926361122,-0.03526610174879685,-0.03582746995260866,-0.036762527103078146,-0.057203779751564765,-0.057345892303526824,-0.05758270535425947
2016-01-15,-0.03274893706931603,-0.03313414927245928,-0.033775903497273885,-0.04893952252756595,-0.04951013209469268,-0.05046055492921664,-0.08484191509767003,-0.08498829211778614,-0.085232208175544
2016-01-19,-0.032670763829622196,-0.03307702969717641,-0.03375383613146088,-0.048824225452920755,-0.049425903898726475,-0.05042802546576575,-0.08458942721175922,-0.08474582648601647,-0.08500643919239803
2016-01-20,-0.035701080270020724,-0.036132175739838734,-0.03685031707340791,-0.05329379508786225,-0.05393113768232083,-0.054992594462935473,-0.09263819859939726,-0.09280461602340973,-0.09308191745875039
2016-01-21,-0.035932613974487326,-0.036387381858484114,-0.037144930061222436,-0.05363475947688112,-0.054306877835036294,-0.05542618977037428,-0.09319572577495283,-0.09337781393254851,-0.09368122043780469
2016-01-22,-0.026308343371729936,-0.02684703320156734,-0.027744280920765974,-0.039463433961886785,-0.04026247564782304,-0.04159294437167038,-0.0644198120083811,-0.06462294394551826,-0.06496140745291978
2016-01-25,-0.03110873874530884,-0.03166109143098306,-0.032581073257994864,-0.04656674319182763,-0.04738401637906087,-0.04874479106947005,-0.07852639059147726,-0.07874976607754203,-0.07912194769706526
2016-01-26,-0.02874692859343686,-0.029317357302482305,-0.030267421973570352,-0.04308054958820429,-0.04392549802498513,-0.04533229916686221,-0.07186187493961582,-0.07210254773839864,-0.07250354051635732
2016-01-27,-0.039143720889078804,-0.039743980491924624,-0.04074367647900268,-0.05844558635743169,-0.05933006199054314,-0.06080255668218415,-0.10349185020239926,-0.10373279033637495,-0.1041342232939858
