Metric,win=60_risk=0.1_tc=0.001_tv=0.1,win=60_risk=0.1_tc=0.0025_tv=0.1,win=60_risk=0.1_tc=0.005_tv=0.1,win=60_risk=0.1_tc=0.001_tv=0.15,win=60_risk=0.1_tc=0.0025_tv=0.15,win=60_risk=0.1_tc=0.005_tv=0.15,win=60_risk=0.1_tc=0.001_tv=inf,win=60_risk=0.1_tc=0.0025_tv=inf,win=60_risk=0.1_tc=0.005_tv=inf,win=60_risk=0.3_tc=0.001_tv=0.1,win=60_risk=0.3_tc=0.0025_tv=0.1,win=60_risk=0.3_tc=0.005_tv=0.1,win=60_risk=0.3_tc=0.001_tv=0.15,win=60_risk=0.3_tc=0.0025_tv=0.15,win=60_risk=0.3_tc=0.005_tv=0.15,win=60_risk=0.3_tc=0.001_tv=inf,win=60_risk=0.3_tc=0.0025_tv=inf,win=60_risk=0.3_tc=0.005_tv=inf,win=60_risk=0.5_tc=0.001_tv=0.1,win=60_risk=0.5_tc=0.0025_tv=0.1,win=60_risk=0.5_tc=0.005_tv=0.1,win=60_risk=0.5_tc=0.001_tv=0.15,win=60_risk=0.5_tc=0.0025_tv=0.15,win=60_risk=0.5_tc=0.005_tv=0.15,win=60_risk=0.5_tc=0.001_tv=inf,win=60_risk=0.5_tc=0.0025_tv=inf,win=60_risk=0.5_tc=0.005_tv=inf,win=60_risk=0.7_tc=0.001_tv=0.1,win=60_risk=0.7_tc=0.0025_tv=0.1,win=60_risk=0.7_tc=0.005_tv=0.1,win=60_risk=0.7_tc=0.001_tv=0.15,win=60_risk=0.7_tc=0.0025_tv=0.15,win=60_risk=0.7_tc=0.005_tv=0.15,win=60_risk=0.7_tc=0.001_tv=inf,win=60_risk=0.7_tc=0.0025_tv=inf,win=60_risk=0.7_tc=0.005_tv=inf,win=60_risk=0.9_tc=0.001_tv=0.1,win=60_risk=0.9_tc=0.0025_tv=0.1,win=60_risk=0.9_tc=0.005_tv=0.1,win=60_risk=0.9_tc=0.001_tv=0.15,win=60_risk=0.9_tc=0.0025_tv=0.15,win=60_risk=0.9_tc=0.005_tv=0.15,win=60_risk=0.9_tc=0.001_tv=inf,win=60_risk=0.9_tc=0.0025_tv=inf,win=60_risk=0.9_tc=0.005_tv=inf,win=60_risk=1_tc=0.001_tv=0.1,win=60_risk=1_tc=0.0025_tv=0.1,win=60_risk=1_tc=0.005_tv=0.1,win=60_risk=1_tc=0.001_tv=0.15,win=60_risk=1_tc=0.0025_tv=0.15,win=60_risk=1_tc=0.005_tv=0.15,win=60_risk=1_tc=0.001_tv=inf,win=60_risk=1_tc=0.0025_tv=inf,win=60_risk=1_tc=0.005_tv=inf,win=90_risk=0.1_tc=0.001_tv=0.1,win=90_risk=0.1_tc=0.0025_tv=0.1,win=90_risk=0.1_tc=0.005_tv=0.1,win=90_risk=0.1_tc=0.001_tv=0.15,win=90_risk=0.1_tc=0.0025_tv=0.15,win=90_risk=0.1_tc=0.005_tv=0.15,win=90_risk=0.1_tc=0.001_tv=inf,win=90_risk=0.1_tc=0.0025_tv=inf,win=90_risk=0.1_tc=0.005_tv=inf,win=90_risk=0.3_tc=0.001_tv=0.1,win=90_risk=0.3_tc=0.0025_tv=0.1,win=90_risk=0.3_tc=0.005_tv=0.1,win=90_risk=0.3_tc=0.001_tv=0.15,win=90_risk=0.3_tc=0.0025_tv=0.15,win=90_risk=0.3_tc=0.005_tv=0.15,win=90_risk=0.3_tc=0.001_tv=inf,win=90_risk=0.3_tc=0.0025_tv=inf,win=90_risk=0.3_tc=0.005_tv=inf,win=90_risk=0.5_tc=0.001_tv=0.1,win=90_risk=0.5_tc=0.0025_tv=0.1,win=90_risk=0.5_tc=0.005_tv=0.1,win=90_risk=0.5_tc=0.001_tv=0.15,win=90_risk=0.5_tc=0.0025_tv=0.15,win=90_risk=0.5_tc=0.005_tv=0.15,win=90_risk=0.5_tc=0.001_tv=inf,win=90_risk=0.5_tc=0.0025_tv=inf,win=90_risk=0.5_tc=0.005_tv=inf,win=90_risk=0.7_tc=0.001_tv=0.1,win=90_risk=0.7_tc=0.0025_tv=0.1,win=90_risk=0.7_tc=0.005_tv=0.1,win=90_risk=0.7_tc=0.001_tv=0.15,win=90_risk=0.7_tc=0.0025_tv=0.15,win=90_risk=0.7_tc=0.005_tv=0.15,win=90_risk=0.7_tc=0.001_tv=inf,win=90_risk=0.7_tc=0.0025_tv=inf,win=90_risk=0.7_tc=0.005_tv=inf,win=90_risk=0.9_tc=0.001_tv=0.1,win=90_risk=0.9_tc=0.0025_tv=0.1,win=90_risk=0.9_tc=0.005_tv=0.1,win=90_risk=0.9_tc=0.001_tv=0.15,win=90_risk=0.9_tc=0.0025_tv=0.15,win=90_risk=0.9_tc=0.005_tv=0.15,win=90_risk=0.9_tc=0.001_tv=inf,win=90_risk=0.9_tc=0.0025_tv=inf,win=90_risk=0.9_tc=0.005_tv=inf,win=90_risk=1_tc=0.001_tv=0.1,win=90_risk=1_tc=0.0025_tv=0.1,win=90_risk=1_tc=0.005_tv=0.1,win=90_risk=1_tc=0.001_tv=0.15,win=90_risk=1_tc=0.0025_tv=0.15,win=90_risk=1_tc=0.005_tv=0.15,win=90_risk=1_tc=0.001_tv=inf,win=90_risk=1_tc=0.0025_tv=inf,win=90_risk=1_tc=0.005_tv=inf,win=120_risk=0.1_tc=0.001_tv=0.1,win=120_risk=0.1_tc=0.0025_tv=0.1,win=120_risk=0.1_tc=0.005_tv=0.1,win=120_risk=0.1_tc=0.001_tv=0.15,win=120_risk=0.1_tc=0.0025_tv=0.15,win=120_risk=0.1_tc=0.005_tv=0.15,win=120_risk=0.1_tc=0.001_tv=inf,win=120_risk=0.1_tc=0.0025_tv=inf,win=120_risk=0.1_tc=0.005_tv=inf,win=120_risk=0.3_tc=0.001_tv=0.1,win=120_risk=0.3_tc=0.0025_tv=0.1,win=120_risk=0.3_tc=0.005_tv=0.1,win=120_risk=0.3_tc=0.001_tv=0.15,win=120_risk=0.3_tc=0.0025_tv=0.15,win=120_risk=0.3_tc=0.005_tv=0.15,win=120_risk=0.3_tc=0.001_tv=inf,win=120_risk=0.3_tc=0.0025_tv=inf,win=120_risk=0.3_tc=0.005_tv=inf,win=120_risk=0.5_tc=0.001_tv=0.1,win=120_risk=0.5_tc=0.0025_tv=0.1,win=120_risk=0.5_tc=0.005_tv=0.1,win=120_risk=0.5_tc=0.001_tv=0.15,win=120_risk=0.5_tc=0.0025_tv=0.15,win=120_risk=0.5_tc=0.005_tv=0.15,win=120_risk=0.5_tc=0.001_tv=inf,win=120_risk=0.5_tc=0.0025_tv=inf,win=120_risk=0.5_tc=0.005_tv=inf,win=120_risk=0.7_tc=0.001_tv=0.1,win=120_risk=0.7_tc=0.0025_tv=0.1,win=120_risk=0.7_tc=0.005_tv=0.1,win=120_risk=0.7_tc=0.001_tv=0.15,win=120_risk=0.7_tc=0.0025_tv=0.15,win=120_risk=0.7_tc=0.005_tv=0.15,win=120_risk=0.7_tc=0.001_tv=inf,win=120_risk=0.7_tc=0.0025_tv=inf,win=120_risk=0.7_tc=0.005_tv=inf,win=120_risk=0.9_tc=0.001_tv=0.1,win=120_risk=0.9_tc=0.0025_tv=0.1,win=120_risk=0.9_tc=0.005_tv=0.1,win=120_risk=0.9_tc=0.001_tv=0.15,win=120_risk=0.9_tc=0.0025_tv=0.15,win=120_risk=0.9_tc=0.005_tv=0.15,win=120_risk=0.9_tc=0.001_tv=inf,win=120_risk=0.9_tc=0.0025_tv=inf,win=120_risk=0.9_tc=0.005_tv=inf,win=120_risk=1_tc=0.001_tv=0.1,win=120_risk=1_tc=0.0025_tv=0.1,win=120_risk=1_tc=0.005_tv=0.1,win=120_risk=1_tc=0.001_tv=0.15,win=120_risk=1_tc=0.0025_tv=0.15,win=120_risk=1_tc=0.005_tv=0.15,win=120_risk=1_tc=0.001_tv=inf,win=120_risk=1_tc=0.0025_tv=inf,win=120_risk=1_tc=0.005_tv=inf
Total Return,0.8064395276173093,0.7068947595766759,0.5529921083089002,1.0404024908058997,0.9513357439425187,0.8114018671089367,1.1805682007696365,1.1305902401547199,1.0497803255806581,0.9046255642327166,0.8020406869221643,0.6431633012784859,1.1845620827244332,1.0915643316110657,0.9452401749449455,1.2737253938673625,1.2233928021598932,1.1419264269961502,0.8770631366716022,0.7796369888874157,0.6283374277104878,1.177661195460444,1.0893302263988045,0.9499673476208401,1.1004732376357031,1.0593895647576255,0.9926648845642556,0.8761012929535033,0.7844741756131011,0.6415728303308079,1.1940319427419865,1.1070759202446747,0.9697121554786778,1.1165159662895325,1.0805803081170993,1.022017810229133,0.8669028330161399,0.7778598281824078,0.6387679157164541,1.176585322905849,1.093437876009069,0.9618326171859981,0.9395279217912316,0.9111209350952032,0.8646867401999181,0.8669028330161399,0.7778598281824078,0.6387679157164541,1.176585322905849,1.093437876009069,0.9618326171859981,0.9395279217912316,0.9111209350952032,0.8646867401999181,0.7991579978067289,0.7026983236673683,0.5532474221332919,1.046094601068563,0.9613236663134037,0.8277266453900383,1.2149656028325588,1.1708712570205022,1.0992813236159473,0.7541229870627146,0.6602167508591181,0.514707216273026,0.9866511636788959,0.903438254189828,0.7723797838933397,1.1233913874553956,1.0795621440907612,1.0084737456005644,0.7692545649758082,0.6754336503967424,0.5299567121310875,1.0217834781292296,0.936353271190832,0.8018769614056649,1.060354720184209,1.0195483414933637,0.9532957774530701,0.885438489058868,0.7931542894847619,0.6492494165609628,1.208382520578935,1.1210474863889632,0.9830684211057124,1.0295556107206862,0.997308987050675,0.9446816894371404,0.8669028330161399,0.7778598281824078,0.6387679157164541,1.176585322905849,1.093437876009069,0.9618326171859981,0.9395279217912316,0.9111209350952032,0.8646867401999181,0.8669028330161399,0.7778598281824078,0.6387679157164541,1.176585322905849,1.093437876009069,0.9618326171859981,0.9395279217912316,0.9111209350952032,0.8646867401999181,0.7132162570352094,0.6205531152237713,0.47707780568964187,0.9468651989049908,0.867671167884202,0.742728873430855,1.0733022407770574,1.0327771013274187,0.9669485604597305,0.7918616154024167,0.6950998115365492,0.5452620469884029,1.0683891438995836,0.9820879621326641,0.8461333255682861,1.3188732007161486,1.2722616829599684,1.19660755298715,0.9266360596495313,0.8259800436594378,0.6697350215917293,1.2636396085469768,1.1667941009557112,1.014457527498056,1.3278103788117859,1.2854718030269785,1.2165788240915165,0.9129644625177047,0.8175402845445479,0.6689313038619997,1.2556443827247565,1.1621668411168136,1.0148636137591192,1.1060772023385632,1.0690368729179283,1.0087200876971667,0.8669028330161399,0.7778598281824078,0.6387679157164541,1.176585322905849,1.093437876009069,0.9618326171859981,0.9395279217912316,0.9111209350952032,0.8646867401999181,0.8669028330161399,0.7778598281824078,0.6387679157164541,1.176585322905849,1.093437876009069,0.9618326171859981,0.9395279217912316,0.9111209350952032,0.8646867401999181
Annualized Return,0.15110195141909522,0.1356800479107556,0.11042875487038284,0.1849501704441161,0.17243156255697834,0.15185362164268956,0.20383275221750363,0.19720895260976912,0.1862438664867223,0.16569139273796463,0.15043432038969118,0.12544288274969007,0.20435706859736835,0.19195385378231822,0.17155900941900537,0.21587659515211377,0.2094170637864341,0.19872168816067415,0.16165489668373612,0.1470146125709213,0.12301813804631978,0.2034506605172921,0.1916507626399937,0.17223586380607392,0.19316003769264434,0.18756481517330892,0.17829349506513448,0.16151322203320762,0.147755727687078,0.12518356437947809,0.2055973577018153,0.19405146726724243,0.17504955415449608,0.1953222798791494,0.1904613169057363,0.18240075124312294,0.16015553247665926,0.1467419446042022,0.1247257700754365,0.2033091511609444,0.19220783909986894,0.173929286546878,0.1707394330021026,0.16663614720740227,0.15982767616753324,0.16015553247665926,0.1467419446042022,0.1247257700754365,0.2033091511609444,0.19220783909986894,0.173929286546878,0.1707394330021026,0.16663614720740227,0.15982767616753324,0.14999612833270093,0.1350150172830864,0.11047219320433577,0.18573595052030467,0.17385680902037537,0.1543153966667945,0.20832467840753077,0.20255668631972634,0.19299888967205714,0.14307995763072778,0.12821141264264302,0.10385258098903738,0.177446331926151,0.16551843265612387,0.145899837149444,0.19624512858176324,0.19032266235539463,0.18051126090821468,0.14541870222822095,0.13066355263902119,0.10648698955420599,0.18236814240962862,0.1702831484630909,0.15040944710036142,0.18769723198126131,0.18205696378897107,0.17271169114518825,0.16288621086283483,0.1490817958381705,0.12643343065507917,0.20746913330643846,0.19593077622036326,0.17694069553550773,0.18344815224047295,0.178946385474696,0.17147896059791967,0.16015553247665926,0.1467419446042022,0.1247257700754365,0.2033091511609444,0.19220783909986894,0.173929286546878,0.1707394330021026,0.16663614720740227,0.15982767616753324,0.16015553247665926,0.1467419446042022,0.1247257700754365,0.2033091511609444,0.19220783909986894,0.173929286546878,0.1707394330021026,0.16663614720740227,0.15982767616753324,0.13667949972539617,0.12173828599347214,0.09726438757759759,0.17179182771046553,0.16026913331407622,0.1413087097666117,0.18946904406129694,0.18389488442213597,0.17465703152732748,0.14888462338899044,0.13380765722341015,0.1091110011304326,0.1887977034345787,0.17680220097496147,0.15707110626545173,0.22157866590619846,0.21569029297591058,0.205933985442877,0.16888296592397323,0.15405281167375118,0.12974723784805664,0.21459100926825148,0.2020188570687269,0.18134723323141344,0.22269736335387602,0.2173683864554885,0.20853403888073996,0.16690384320641516,0.15278127020900367,0.1296178118487219,0.21356879162014364,0.20140752696647612,0.1814038974593355,0.19391676691644988,0.18888628061042612,0.18054571389633445,0.16015553247665926,0.1467419446042022,0.1247257700754365,0.2033091511609444,0.19220783909986894,0.173929286546878,0.1707394330021026,0.16663614720740227,0.15982767616753324,0.16015553247665926,0.1467419446042022,0.1247257700754365,0.2033091511609444,0.19220783909986894,0.173929286546878,0.1707394330021026,0.16663614720740227,0.15982767616753324
Annualized Volatility,0.0955509579072549,0.09575760511438988,0.09613920391103944,0.13201488044147894,0.13222906791991565,0.13262176878625917,0.17219653995485124,0.1722740059572193,0.17243171402077417,0.09542808683556621,0.09560557142649885,0.09593487582860304,0.1324059678989464,0.13258952621648823,0.1329261005501614,0.17615169254021065,0.1762060380105255,0.1763213958752323,0.0956518537162507,0.09583922941608664,0.09618079779144426,0.13374781773977681,0.13394587105170097,0.134299987832128,0.18810134282897767,0.1881504349922776,0.1882496418967102,0.09586053575038846,0.09604537656823348,0.09637776627376062,0.13513193036503313,0.13535344797637777,0.13574022262693308,0.21070485296635133,0.2107535294200968,0.2108449502642498,0.09595935279735876,0.09614464920057395,0.09647637713763725,0.1353308047430539,0.13555794048705797,0.1359515066419023,0.22275162905575968,0.222798795309913,0.2228827648413575,0.09595935279735876,0.09614464920057395,0.09647637713763725,0.1353308047430539,0.13555794048705797,0.1359515066419023,0.22275162905575968,0.222798795309913,0.2228827648413575,0.09584405335256302,0.09605866167993865,0.09646194111059817,0.13226714354425625,0.13243563485601265,0.1327526929249571,0.18292995122972058,0.182944941260063,0.1829942604260066,0.09575190663362201,0.09599387946554963,0.09644023160989393,0.1326721840625068,0.13286917599441536,0.13323325030331354,0.18464358654679028,0.1846781860544489,0.18476058839057866,0.09606915529355053,0.09629931988252956,0.09672028178530023,0.13445096877344834,0.13467069454760497,0.13506674803064037,0.1973190316556135,0.19736933283285066,0.19747039162739766,0.09597656153451009,0.09615666554110033,0.09648141897943756,0.1352813488230408,0.13549043320347479,0.1358567241112686,0.21488359394751816,0.21491596753159145,0.21497896408678538,0.09595935279735876,0.09614464920057395,0.09647637713763725,0.1353308047430539,0.13555794048705797,0.1359515066419023,0.22275162905575968,0.222798795309913,0.2228827648413575,0.09595935279735876,0.09614464920057395,0.09647637713763725,0.1353308047430539,0.13555794048705797,0.1359515066419023,0.22275162905575968,0.222798795309913,0.2228827648413575,0.09574150067075766,0.09593864894902747,0.09631641516589848,0.13135865627713825,0.13149284348358137,0.13175716668786058,0.1828209055726026,0.1828085312047492,0.18281280503158676,0.09587492512306503,0.0960636877626595,0.0964244396502764,0.13250655929390992,0.13263608926450965,0.1328899103784974,0.18768508913534365,0.18768136110430514,0.1876976778746304,0.09609513856070893,0.09624649893624425,0.09653444566352735,0.13514361432646993,0.1353111929979148,0.13562362370370074,0.198283828895434,0.19826223221079126,0.19824324506101523,0.09599882384824861,0.09616510111194608,0.09647033476658376,0.1353745344403,0.13556769359060689,0.1359136945727001,0.21464708769531968,0.2146881178436891,0.21476921953882389,0.09595935279735876,0.09614464920057395,0.09647637713763725,0.1353308047430539,0.13555794048705797,0.1359515066419023,0.22275162905575968,0.222798795309913,0.2228827648413575,0.09595935279735876,0.09614464920057395,0.09647637713763725,0.1353308047430539,0.13555794048705797,0.1359515066419023,0.22275162905575968,0.222798795309913,0.2228827648413575
Annualized Sharpe Ratio,1.3795772347251338,1.2359020775209548,0.9974300686743067,1.2496680537001272,1.16749703095957,1.0308588551709537,1.0855014593313888,1.0530455041113276,0.9988514202028171,1.513231506056953,1.3727443217498376,1.139356547285007,1.369118427163253,1.289287563137684,1.1564609121870615,1.1215814488330325,1.091041301724665,1.0400367624762583,1.4737540161605,1.338666898623966,1.1143517762941508,1.3511580145287054,1.2757521874215063,1.1503653481378944,0.9617018745636184,0.9365058330528491,0.8944589993809223,1.4694469644689612,1.3426974723244862,1.1322423104058925,1.3518817790528026,1.2787552420276707,1.1572590568787215,0.8886920496729516,0.8691927601596832,0.8366731088055093,1.4558429135498836,1.3322208070378867,1.1269705079086998,1.3360518924890947,1.2656305754539052,1.1486584547661205,0.7593904558928152,0.7435120380377662,0.7170456817556965,1.4558429135498836,1.3322208070378867,1.1269705079086998,1.3360518924890947,1.2656305754539052,1.1486584547661205,0.7593904558928152,0.7435120380377662,0.7170456817556965,1.3656751219518355,1.2262822042059836,0.9948677255536938,1.2525716246739431,1.175079665863832,1.046079016206043,1.0526026518432714,1.0263598502964535,0.9825007456571431,1.3038240910218455,1.1643468253097367,0.9330227872954291,1.1962204959394058,1.1179780913560708,0.9878244215756133,0.9900753863177953,0.9630347486614336,0.9178666838275267,1.3211921047960549,1.1835791869199088,0.9553091377069768,1.213271207922653,1.1351868456549323,1.0053894837151671,0.9024362847682226,0.878125215176661,0.8375611809487155,1.4801241919055899,1.3532889169021112,1.1426573741992487,1.3620281673852606,1.2892275441619265,1.1682387589615244,0.8294223730156558,0.8115884251176038,0.7818442175346145,1.4558429135498836,1.3322208070378867,1.1269705079086998,1.3360518924890947,1.2656305754539052,1.1486584547661205,0.7593904558928152,0.7435120380377662,0.7170456817556965,1.4558429135498836,1.3322208070378867,1.1269705079086998,1.3360518924890947,1.2656305754539052,1.1486584547661205,0.7593904558928152,0.7435120380377662,0.7170456817556965,1.2453922398699036,1.1050611965819244,0.87200607317999,1.1702670434163973,1.0940167269385517,0.9669804247596592,0.9670656577316384,0.9414089120933857,0.8985175211564145,1.3552052445837481,1.215165796262267,0.9825139303141436,1.2700496535102344,1.192435476585322,1.0631120758195016,1.0887576399803818,1.0630120943876118,1.0199781046561496,1.5319608227814698,1.396980271058167,1.172519056425743,1.4068067958369115,1.328290693203075,1.1975698942789024,1.045793179547701,1.0238412033788058,0.9871592406009035,1.5157655474700171,1.3866337546045273,1.1720617577536185,1.3984423758269622,1.322304128218752,1.1956774098135639,0.8711804369431655,0.8513769266116619,0.8183394277752767,1.4558429135498836,1.3322208070378867,1.1269705079086998,1.3360518924890947,1.2656305754539052,1.1486584547661205,0.7593904558928152,0.7435120380377662,0.7170456817556965,1.4558429135498836,1.3322208070378867,1.1269705079086998,1.3360518924890947,1.2656305754539052,1.1486584547661205,0.7593904558928152,0.7435120380377662,0.7170456817556965
Max Drawdown,-0.08738681411897431,-0.09442074987854043,-0.10602859681956289,-0.12471565836220322,-0.13301953118806376,-0.14669386425807374,-0.15606112439171427,-0.15839694820157124,-0.16776797906763785,-0.08706837533480416,-0.09136426373031115,-0.10177865485828996,-0.12682477407733916,-0.13198429453043703,-0.14052204489989772,-0.16443707142293928,-0.1673025700759042,-0.17206469503277144,-0.09207643446113623,-0.0959631824779299,-0.10240642847907988,-0.13383933606276888,-0.13847199491647233,-0.1461423857324171,-0.2022147210852867,-0.20272627504623608,-0.2035783745647044,-0.10612232485359308,-0.10949729966385768,-0.1150952901341099,-0.15409020164391596,-0.15802730415197142,-0.16455073670064568,-0.24746866564330205,-0.24767161261357296,-0.2480097457867828,-0.1098649610988135,-0.11241638944650101,-0.11665322826654267,-0.1599527685897063,-0.16297453952051122,-0.16798776437589957,-0.2845221183906017,-0.2854419715041262,-0.28697247247151325,-0.1098649610988135,-0.11241638944650101,-0.11665322826654267,-0.1599527685897063,-0.16297453952051122,-0.16798776437589957,-0.2845221183906017,-0.2854419715041262,-0.28697247247151325,-0.09111040546367344,-0.0948979052151755,-0.10117796651331823,-0.13279080499396168,-0.13719182463238389,-0.144482317260057,-0.19107308895988595,-0.19162333973944612,-0.19253989028412744,-0.09364927133513279,-0.09732467044667348,-0.10341953298563766,-0.13627399308937904,-0.14052640274987893,-0.15292635361746165,-0.19181400345766852,-0.19235957521156355,-0.19326833458475368,-0.09825159170249831,-0.10170659373941804,-0.10743729991229523,-0.1426832780501085,-0.14668454337830006,-0.15331503825777526,-0.20801347078774246,-0.20852051630602453,-0.20936513370613352,-0.10439159236180828,-0.10760355584354042,-0.11293244469525965,-0.15167625442833266,-0.15537830372577255,-0.16151451309856169,-0.2736142540830927,-0.27418193287283765,-0.27512723328558253,-0.1098649610988135,-0.11241638944650101,-0.11665322826654267,-0.1599527685897063,-0.16297453952051122,-0.16798776437589957,-0.2845221183906017,-0.2854419715041262,-0.28697247247151325,-0.1098649610988135,-0.11241638944650101,-0.11665322826654267,-0.1599527685897063,-0.16297453952051122,-0.16798776437589957,-0.2845221183906017,-0.2854419715041262,-0.28697247247151325,-0.09218923981572336,-0.0984807773798958,-0.11032384421029295,-0.13346216054190074,-0.13777125702832693,-0.14491056527482737,-0.18917358247761984,-0.18973876768657572,-0.19068019679900394,-0.0944843736269595,-0.09821236776890108,-0.10439396056286532,-0.13676140193614994,-0.14094745736449865,-0.14788349623642716,-0.18754136131315957,-0.18771433580112684,-0.18800255290084178,-0.0982984825298775,-0.10174511240960327,-0.10746200524194849,-0.14276136824024332,-0.14675320521163193,-0.15336817825881255,-0.24746866564330172,-0.24767161261357318,-0.2480097457867828,-0.10228116049749969,-0.10620812660099443,-0.11271716852541647,-0.1491833700518972,-0.15425388483560154,-0.16264206835220818,-0.26865748993470706,-0.26890564245277626,-0.26931905739527895,-0.1098649610988135,-0.11241638944650101,-0.11665322826654267,-0.1599527685897063,-0.16297453952051122,-0.16798776437589957,-0.2845221183906017,-0.2854419715041262,-0.28697247247151325,-0.1098649610988135,-0.11241638944650101,-0.11665322826654267,-0.1599527685897063,-0.16297453952051122,-0.16798776437589957,-0.2845221183906017,-0.2854419715041262,-0.28697247247151325
