Metric,tc=0_tv=0.1,tc=0.001_tv=0.1,tc=0.0025_tv=0.1,tc=0.005_tv=0.1,tc=0_tv=0.15,tc=0.001_tv=0.15,tc=0.0025_tv=0.15,tc=0.005_tv=0.15,tc=0_tv=0.2,tc=0.001_tv=0.2,tc=0.0025_tv=0.2,tc=0.005_tv=0.2,tc=0_tv=0.25,tc=0.001_tv=0.25,tc=0.0025_tv=0.25,tc=0.005_tv=0.25,tc=0_tv=inf,tc=0.001_tv=inf,tc=0.0025_tv=inf,tc=0.005_tv=inf
Total Return,0.9287217627654336,0.8669028330161399,0.7778598281824078,0.6387679157164541,1.2338366895123012,1.176585322905849,1.093437876009069,0.9618326171859981,1.2212980093369086,1.1811631700416796,1.1223093948071776,1.0277094253620032,1.1669834249969346,1.1325072550695925,1.0818119954446925,0.9999665869297756,0.9586972851312718,0.9395279217912316,0.9111209350952032,0.8646867401999181
Annualized Return,0.1691839540451714,0.16015553247665926,0.1467419446042022,0.1247257700754365,0.21076649521350488,0.2033091511609444,0.19220783909986894,0.173929286546878,0.2091458189268396,0.20391090608111107,0.19610004998127417,0.1831918934677541,0.20204384840770406,0.19746519516764893,0.19062898017152086,0.17931948346710103,0.17348256928598427,0.1707394330021026,0.16663614720740227,0.15982767616753324
Annualized Volatility,0.09584158442041531,0.09595935279735876,0.09614464920057395,0.09647637713763725,0.13518315372707942,0.1353308047430539,0.13555794048705797,0.1359515066419023,0.16023275875147955,0.16029555649907545,0.16039366681759815,0.16056759902994744,0.17812852505190638,0.1781605151382565,0.17821207250731588,0.1783075180555899,0.22272152562113612,0.22275162905575968,0.222798795309913,0.2228827648413575
Annualized Sharpe Ratio,1.5384303753995912,1.4558429135498836,1.3322208070378867,1.1269705079086998,1.3830924571487127,1.3360518924890947,1.2656305754539052,1.1486584547661205,1.1817234192144852,1.1542418194239235,1.1130326788992473,1.044395129265506,1.0470087566251878,1.0254225319699306,0.993037845745614,0.939054934506896,0.7699751640426536,0.7593904558928152,0.7435120380377662,0.7170456817556965
Max Drawdown,-0.10816011204012399,-0.1098649610988135,-0.11241638944650101,-0.11665322826654267,-0.1579324684309663,-0.1599527685897063,-0.16297453952051122,-0.16798776437589957,-0.19665439793348216,-0.1982788724202379,-0.2007096527366673,-0.20474518571385958,-0.23142211169714577,-0.23312243883387818,-0.2356660562135826,-0.23988715382199266,-0.283908235195537,-0.2845221183906017,-0.2854419715041262,-0.28697247247151325
